user_id,user_community,user_active_status,retweet_count,quote_count,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
16585101,2,suspended,11944,1185,12,2,56,77,11798,1097,40,8,38,1,5103,329
17936949,1,suspended,16869,1210,17,6,1042,135,15642,1061,71,3,97,5,5023,281
21943446,1,suspended,2495,314,1,3,71,23,2357,286,6,1,60,1,849,95
23317891,1,suspended,24758,1368,25,2,1229,158,23258,1201,116,5,130,2,9882,401
23360808,2,suspended,14774,1137,12,3,44,73,14669,1051,20,3,29,7,6913,288
24822993,1,suspended,75581,5976,65,86,4069,613,70963,5199,191,35,293,43,30375,1986
25073877,1,suspended,1231626,156982,6257,29941,292242,26607,863596,94552,37414,3556,32117,2326,291398,28156
30692806,2,suspended,8989,714,2,4,26,22,8943,684,4,2,14,2,4313,243
36934558,2,suspended,20775,2103,8,6,39,94,20686,1988,12,11,30,4,7690,603
37862226,2,suspended,11466,3045,11,10,184,274,11068,2698,139,51,64,12,4536,694
39785748,2,deleted,6943,581,6,6,27,32,6880,537,12,4,18,2,2742,173
49023129,1,suspended,78909,2769,52,10,3713,253,74310,2474,358,19,476,13,39229,1047
51586310,1,suspended,13966,1329,8,9,773,161,13138,1148,17,4,30,7,6201,453
53745076,2,suspended,5245,438,1,4,18,14,5212,418,8,1,6,1,2319,121
56491860,2,suspended,12543,1312,2,1,47,74,12478,1233,7,1,9,3,4894,394
63327519,1,suspended,26969,2900,18,5,967,261,25671,2590,88,14,225,30,13071,1161
66053650,2,suspended,12074,1634,9,4,61,97,11983,1528,10,4,11,1,4932,462
69190453,2,suspended,15798,1785,12,12,119,134,15570,1631,50,4,47,4,5877,409
81399888,2,suspended,8255,568,3,1,25,32,8209,532,3,2,15,1,3856,193
83932539,1,suspended,159613,11483,110,68,6683,1022,151554,10221,592,97,674,75,75120,4105
85498982,1,deleted,16325,1133,42,10,810,79,15406,1032,30,6,37,6,5513,315
88426758,2,suspended,22146,2184,9,4,102,144,21868,2018,71,9,96,9,9094,582
93088579,2,suspended,3659,726,3,12,6,35,3642,676,3,2,5,1,1572,326
112981893,1,deleted,1116,654,3,3,23,567,968,80,108,1,14,3,401,28
127941629,1,suspended,4655,359,11,28,357,41,4234,285,22,3,31,2,1718,91
167778891,2,suspended,12109,1111,8,2,53,71,12003,1034,10,1,35,3,5151,317
187022370,2,suspended,13390,1041,11,4,55,59,13188,965,51,3,85,10,6334,311
187680645,1,suspended,850013,74424,927,743,54936,8725,777109,63310,11434,1251,5607,395,321090,21483
214562153,1,suspended,1059,624,4,2,294,106,725,488,7,8,29,20,234,150
240454812,1,suspended,274284,18524,379,463,26678,2449,242446,15196,2548,237,2233,179,103916,5731
