user_id,user_community,user_active_status,closeness_centrality_detractor_cluster,closeness_centrality_promoter_cluster,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
1295339359865110528,2,active,,0.2565262399278912,5,4,51,131,6343,598,121,14,47,5,2605,185
15976697,1,active,,0.3054104714084599,59,67,4017,325,41845,2324,75,4,106,5,13713,565
364214133,1,active,,0.29475107621914,80,70,5819,885,55768,5836,334,50,551,35,18235,1397
4479867201,2,active,,0.23591158589113292,3,2,21,103,2937,1097,9,4,25,19,788,322
1017280993,1,active,,0.22926607512627428,17,6,563,32,2696,313,3,3,10,2,353,61
447456943,1,active,,0.20388641906090024,1,5,244,35,701,132,7,3,104,41,193,51
99994358,1,active,,0.25969755589854865,5,20,192,25,1722,192,75,8,7,3,568,46
1079776144524754944,1,active,,0.2553474228777993,66,31,2519,179,3155,331,37,4,64,5,673,52
110396781,0,active,0.12750783376033406,,5572,343,12,93,90,473,10,2,9,3,57,127
20975060,1,active,,0.2629899172772735,38,20,652,99,2279,309,28,3,77,21,705,96
116384038,2,active,,0.2558303261187298,15,3,168,178,14236,1647,41,3,36,6,5166,648
259001548,1,active,,0.2984498763543412,141,222,13369,2108,32918,6901,422,60,638,113,10960,3118
4710708974,2,active,,0.25562411820265446,22,11,113,131,21523,1811,18,2,50,1,6614,484
18643437,1,active,,0.23823491297664962,76,46,842,75,3006,301,8,1,32,4,913,111
103744112,1,active,,0.3218865825340888,77,199,3013,195,14969,958,177,21,287,17,5396,267
18891076,1,active,,0.21276029229326057,3,1,188,65,1433,297,1,2,5,2,606,126
2975091705,1,active,,0.30385020862996504,51,124,1485,240,12185,1262,82,10,87,3,4016,293
2301990517,1,active,,0.2923850675150209,44,16,2875,270,26405,1511,47,2,100,3,7791,344
108370360,1,active,,0.23547054454078165,3,1,106,44,2647,554,7,1,19,2,890,169
19553409,1,active,,0.3137690744260894,122,58,6830,387,24808,1647,171,16,280,17,7105,397
826065164504006657,1,active,,0.3219139051892004,47,76,2821,145,15423,738,168,8,283,11,5581,195
624306656,2,active,,0.2480188002260494,3,5,32,46,5349,833,18,5,9,3,2302,211
2643570679,1,active,,0.21562772138687475,1,3,64,13,543,26,4,2,4,1,227,7
58579942,1,active,,0.22218105991126227,26,451,620,132,2381,487,6,1,7,6,744,154
889522784916910080,0,active,0.09316416224092765,,2554,238,3,7,81,108,1,2,3,1,77,28
739610364975808513,1,active,,0.2731687003488504,19,26,1547,302,22556,2488,18,1,67,5,8648,772
45676731,1,active,,0.32572018344010956,29,20,1379,110,8832,572,67,9,90,4,3357,183
6742412,1,active,,0.29470365179751457,43,139,1384,133,17850,1055,107,13,107,6,6389,275
47293791,1,active,,0.25686007506487446,117,643,9271,1087,29909,4560,125,18,225,33,10037,1422
47437206,1,active,,0.2400640667065478,10,12,84,74,1506,894,4,3,1,1,611,256
1008598678523842560,1,active,,0.2647695373651028,14,33,1151,123,6565,777,34,8,31,4,1727,142
611986351,1,active,,0.22481058622096092,35,6,1025,40,2482,203,6,1,66,2,620,57
15212187,1,active,,0.29014287455645044,97,55,4160,214,26040,1466,77,6,185,9,8581,392
118567880,1,active,,0.25989587564237565,13,6,751,67,3608,288,13,2,12,1,1100,65
3056035526,1,active,,0.27327141874363603,27,75,728,264,3780,446,55,16,44,8,1376,112
121217779,1,active,,0.24599303679777554,14,4,537,262,11379,1151,130,23,95,11,4162,322
1259714432,1,active,,0.2568365533780767,13,29,1599,72,11911,594,17,1,38,1,3809,176
24787367,1,active,,0.2168742281263637,11,3,272,49,3921,438,3,2,6,1,1290,123
1242146812309405708,1,active,,0.2918084338092374,10,10,1062,353,9681,2046,113,26,97,27,3730,490
37575922,1,active,,0.2879412753642175,30,68,1646,197,20614,1193,60,4,113,6,7279,320
14662354,1,active,,0.2379285145098169,112,43,323,65,1489,230,150,42,40,6,431,55
1408003598,1,active,,0.2520418954412265,19,7,352,58,2918,267,9,2,18,2,880,72
39308549,1,active,,0.25288170841985463,142,106,1037,323,4991,1360,32,7,99,10,1635,305
39344374,1,active,,0.33414765369322513,288,971,18461,1175,68231,4896,460,31,1185,71,22805,1569
39349894,1,active,,0.3087890217310551,189,389,13311,1138,45873,3677,264,27,866,61,15259,1099
1127744603061276672,1,active,,0.2374515597862477,24,6,1401,132,7937,966,16,1,12,3,2425,203
299896657,1,active,,0.22098161041864248,5,8,229,47,7414,745,8,1,35,5,2248,197
14828860,2,active,,0.2633706705475423,19,3,82,38,9207,520,86,6,33,3,3863,183
592730371,1,active,,0.3310384443714837,250,63,10822,1271,81660,6239,275,24,551,48,25918,1580
1325639866881863681,1,active,,0.2658824508557958,72,594,2244,394,16121,1891,321,46,149,20,5219,557
90480218,1,active,,0.3153183662488026,116,64,5775,430,75381,3401,147,12,197,12,28017,1066
1196441152486072320,1,active,,0.3227745466797134,96,103,2728,554,17277,3323,215,98,310,80,6499,975
9300262,0,active,0.1257569106886863,,2415,599,6,45,152,249,7,8,4,4,57,65
201287829,1,active,,0.2455846865011475,1,13,65,2,571,51,1,1,1,1,200,20
204444440,1,active,,0.2538959160975285,22,18,539,140,23009,2247,52,1,50,3,8567,653
397526755,1,active,,0.2620020219569331,37,260,697,152,8085,981,13,4,62,14,2572,316
16989178,1,active,,0.345512206298572,464,285,34641,4673,172243,21370,564,94,1025,184,57993,6525
772934961766608897,1,active,,0.28088211790919354,17,25,632,80,7561,515,133,18,109,7,2792,129
74303349,1,active,,0.27351411950330873,18,19,630,90,13788,887,32,3,31,5,4968,217
1308126249701838851,2,active,,0.22437525657864307,1,1,21,20,1109,151,2,1,13,2,373,48
380285402,0,active,0.11362691719287016,,1065,315,14,38,530,166,15,10,8,1,131,54
2835451658,1,active,,0.26754370662233945,16,3,681,94,3149,367,11,5,27,4,879,89
129235890,1,active,,0.24224376207899492,11,23,374,55,11891,647,29,2,53,1,4307,169
28785486,0,active,0.15018323460796937,,10020,1538,24,91,194,431,6,8,16,9,172,128
28879277,1,active,,0.23404290008724696,3,17,220,37,1839,302,377,29,40,3,659,90
850507814023942144,1,active,,0.25474425660284283,58,233,2146,201,19303,1213,52,4,232,15,7407,388
131546062,1,active,,0.30837233837845973,87,600,1156,74,5176,381,53,8,160,9,1793,110
