tweet_id,user_community,community_type,user_active_status,retweet_count,quote_count,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users,date
1337578033377669122,1,promoter,active,441,28,1,1,14,5,416,20,4,1,6,1,146,2,2020_12
1337637023063048193,1,promoter,active,8318,583,16,6,753,82,7451,487,47,5,51,3,2416,123,2020_12
1337745268591259648,1,promoter,suspended,44054,27094,211,3043,13964,6612,27312,16198,1593,861,974,380,8307,4525,2020_12
1337749683414896640,1,promoter,active,8445,710,20,20,1250,111,7064,568,23,3,88,8,2634,151,2020_12
1337755324963545089,1,promoter,active,1324,175,2,1,147,23,1166,147,2,1,7,3,363,44,2020_12
1337757251113717760,1,promoter,active,379,61,8,1,66,10,295,44,5,5,5,1,122,20,2020_12
1337778729968349187,1,promoter,suspended,2821,237,4,3,91,19,2713,212,5,2,8,1,1172,82,2020_12
1337790419875352576,1,promoter,suspended,37891,6004,179,1772,9552,854,26064,3202,1188,102,908,74,8342,872,2020_12
1337791329586311168,2,promoter,suspended,4939,420,6,5,65,46,4726,355,68,8,74,6,1843,107,2020_12
1337810996220538883,1,promoter,active,2042,162,1,5,162,22,1849,130,9,1,21,4,738,49,2020_12
1337837300072517632,1,promoter,suspended,5014,238,5,2,185,27,4693,202,81,5,50,2,2316,66,2020_12
1337866132221378560,1,promoter,active,4461,362,8,3,231,37,4208,319,6,2,8,1,1350,81,2020_12
1337874364209958923,1,promoter,active,9349,936,14,8,950,148,8275,759,28,7,82,14,3042,246,2020_12
1337907271574171649,1,promoter,suspended,7636,938,5,3,309,66,7221,858,34,4,67,7,3542,314,2020_12
1337912476168437761,1,promoter,active,541,54,1,1,89,13,429,38,10,1,12,1,183,12,2020_12
1337993743090278401,1,promoter,suspended,10924,691,13,2,756,83,9768,574,295,24,92,8,4051,206,2020_12
1338004527652462592,1,promoter,suspended,10246,732,7,4,725,93,9196,598,221,31,97,6,3818,232,2020_12
1338061528474341376,1,promoter,active,831,56,1,2,22,6,791,46,5,1,12,1,398,29,2020_12
