"domain","tweet_count","retweet_count_metadata","quote_count_metadata","tweet_count_by_community_0","retweet_count_by_community_0","quote_count_by_community_0","tweet_count_by_community_1","retweet_count_by_community_1","quote_count_by_community_1","tweet_count_by_community_2","retweet_count_by_community_2","quote_count_by_community_2","tweet_count_by_community_3","retweet_count_by_community_3","quote_count_by_community_3","tweet_count_by_community_4","retweet_count_by_community_4","quote_count_by_community_4","tweet_count_by_suspended_users","retweet_count_by_suspended_users","quote_count_by_suspended_users"
"newsweek.com",2,58,65,1,27,41,0,1,3,1,13,2,0,0,0,0,0,0,0,1,1
"independent.co.uk",3,87,19,2,61,6,0,1,1,0,18,1,0,0,0,0,0,0,0,13,0
"independent.co.uk",6,67,15,6,55,8,0,0,0,0,2,3,0,0,0,0,0,0,0,4,2
"msn.com",33,36,7,25,35,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"independent.co.uk",18,46,11,18,43,8,0,0,0,0,1,0,0,0,0,0,0,0,17,1,1
"rawstory.com",18,80,5,16,51,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0
"theguardian.com",44,37,14,29,31,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"thedailybeast.com",1,62,15,1,57,10,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0
"washingtonpost.com",11,59,5,11,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"cnn.com",4,56,38,3,49,15,0,0,1,0,4,10,0,0,0,0,0,0,0,0,0
"politicususa.com",1,58,25,1,46,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"thedailybeast.com",1,59,17,1,56,10,0,0,0,0,1,4,0,0,0,0,0,0,0,2,1
"deadstate.org",7,262,15,3,59,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"newsweek.com",1,172,57,1,51,14,0,1,1,0,3,1,0,1,0,0,0,0,0,1,2
"msn.com",166,40,4,31,32,3,0,0,0,0,0,2,0,0,0,0,0,0,125,0,2
"independent.co.uk",39,39,3,28,35,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"nytimes.com",2,253,60,2,60,3,0,1,2,0,1,3,0,0,0,0,0,1,0,2,0
"thehill.com",1,66,29,1,53,11,0,0,1,0,5,7,0,0,0,0,0,0,0,3,2
"independent.co.uk",1,54,26,1,52,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"nytimes.com",39,34,2,26,36,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"washingtonpost.com",25,40,9,17,37,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"msn.com",1,65,6,1,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
